letter,glyph_count,page_count,glyph_probability,glyph_probability_ci_low,glyph_probability_ci_high,page_presence_probability,page_presence_ci_low,page_presence_ci_high,confidence_n,confidence_mean,confidence_median,confidence_std,frequency_rank,confidence_rank
א,13828,450,0.09286894384075005,0.09140516936992549,0.0943537251328676,0.9,0.8705780903680599,0.9233224372626984,13828,0.9928416763089384,0.9995,0.015207524344810163,3.0,25.0
ב,7638,441,0.051296860938360486,0.05018788541686919,0.0524289882840943,0.882,0.8507680121388806,0.9074069917484936,7638,0.9931076590730559,0.9995,0.015029290427913124,7.0,23.0
ג,1672,322,0.011229163588496823,0.010706420379051496,0.011777126003056547,0.644,0.601078749973113,0.68472543997396,1672,0.9935702751196172,0.9996,0.01402511069141027,21.0,14.0
ד,4327,396,0.029060161990087173,0.028219040034220415,0.02992558312153182,0.792,0.7542636968800828,0.8252836882903708,4327,0.9937229951467529,0.9995,0.013999875189184243,13.0,8.0
ה,10436,439,0.07008824833107227,0.06880258599765068,0.07139609290581994,0.878,0.8463952769261602,0.9038407216849063,10436,0.9930034879264087,0.9994,0.015074438815754189,5.0,24.0
ו,15880,451,0.10665019006299614,0.10509250874796293,0.10822816712564666,0.902,0.8727939491335183,0.9250760811353939,15880,0.9933331423173803,0.9995,0.014647596795886094,2.0,21.0
ז,1163,294,0.007810716060658975,0.0073760964514082055,0.008270731257334534,0.588,0.5443465920099858,0.630311524068781,1163,0.9936285468615651,0.9995,0.014027922494242394,24.0,11.0
ח,3392,384,0.022780695509677765,0.02203506702947718,0.023550947168325034,0.768,0.7290425919653227,0.8028707615472854,3392,0.9937630896226415,0.9996,0.01414815860339884,16.0,6.0
ט,1128,295,0.007575655818076804,0.007147766786107367,0.008028952565920663,0.59,0.5463626881245969,0.6322649305923236,1128,0.993400620567376,0.9995,0.014435580044479965,25.0,19.0
י,16682,447,0.1120364276215933,0.11044435825495132,0.11364851482109241,0.894,0.8639490699892671,0.9180429497270297,16682,0.9934510490348879,0.9996,0.014685373084856979,1.0,17.0
כ,4256,393,0.028583325497991915,0.02774903595549322,0.0294419388194949,0.786,0.7479418772435874,0.8196970000124048,4256,0.9931701127819551,0.9995,0.015069093344635751,14.0,22.0
ל,12051,437,0.08093459952450671,0.07956008604725857,0.08233073560176211,0.874,0.8420322822801359,0.900264711054623,12051,0.9937442784831135,0.9996,0.014033800669987101,4.0,7.0
מ,7621,425,0.051182688820534866,0.050074896446383854,0.05231363890988966,0.85,0.8160389193683016,0.8786240423086119,7621,0.9934479202204435,0.9996,0.014681412532681907,8.0,18.0
נ,5230,406,0.035124716248707166,0.03420157122035582,0.03607184753863585,0.812,0.775422375686958,0.8438200358650336,5230,0.9935902868068834,0.9995,0.014552878677125172,11.0,13.0
ס,1908,340,0.012814141224193743,0.012255300565070407,0.013398119308028231,0.68,0.6378729881233315,0.7193822493105099,1908,0.992779035639413,0.9994,0.015053036832974974,20.0,26.0
ע,4889,399,0.03283455788526374,0.03194139346704082,0.03375182673081614,0.798,0.7605971137604937,0.8308587793244213,4889,0.9941238699120475,0.9996,0.013645889325923345,12.0,3.0
פ,2731,369,0.018341414928340207,0.017672182504455677,0.01903549958510593,0.738,0.6977470833575388,0.7746237305827623,2731,0.9937160746979129,0.9995,0.014111206991425566,19.0,9.0
צ,1602,331,0.010759043103332483,0.010247507250630465,0.011295822418048168,0.662,0.6194427380354692,0.7020869756549879,1602,0.9936622971285894,0.9995,0.014455575893754345,22.0,10.0
ק,2994,371,0.020107724751171945,0.019407032027821056,0.020833178570768204,0.742,0.7019060194394218,0.7784037997771869,2994,0.9938699398797596,0.9995,0.013721373439670377,17.0,5.0
ר,7888,428,0.05297586267109028,0.051849663427224274,0.05412512710741571,0.856,0.8225095437017246,0.8840619258896502,7888,0.9935450938133874,0.9996,0.014409022354410876,6.0,15.0
ש,5748,412,0.03860360783892329,0.037636933371855794,0.039594089066513544,0.824,0.78818582871064,0.854873598670274,5748,0.993509916492693,0.9996,0.014548162781846811,10.0,16.0
ת,6853,420,0.046024795497588956,0.0449721467277284,0.04710086811549096,0.84,0.8052918208363085,0.8695236276498359,6853,0.9936014883992412,0.9995,0.014142817146062511,9.0,12.0
ך,1423,279,0.009556877862697955,0.009075204946326583,0.010063856269439692,0.558,0.5141915296492833,0.6009240468571767,1423,0.9943385804638089,0.9997,0.013543529133396391,23.0,1.0
ם,4008,392,0.026917755779123965,0.026107831356472246,0.02775208991950881,0.784,0.7458371194720326,0.8178322551458059,4008,0.993361377245509,0.9994,0.014382948903679697,15.0,20.0
ן,2976,371,0.0199868366264154,0.019288249219178613,0.020710191367385944,0.742,0.7019060194394218,0.7784037997771869,2976,0.9926258400537635,0.9994,0.015342878707242817,18.0,27.0
ף,295,156,0.00198122204462115,0.0017678478577384832,0.0022202926044795276,0.312,0.27295294872528497,0.3539138032882587,295,0.9938749152542371,0.9995,0.013782261394976535,26.0,4.0
ץ,279,159,0.0018737659337264437,0.001666582569514984,0.002106651215347732,0.318,0.27870026117642177,0.36007499875158333,279,0.9941268817204301,0.9996,0.01319426630256257,27.0,2.0
