latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
191,4.489023,4.489023,108.64292274008581,1
214,-3.9069576,3.9069576,-93.13571529848488,2
178,3.7208817,3.7208817,86.20431405805016,3
104,3.716014,3.716014,89.65590677667802,4
130,-3.6684077,3.6684077,-87.89293553073429,5
446,-3.485109,3.485109,-81.20101922857317,6
28,3.3657355,3.3657355,82.89894236312843,7
398,-3.154513,3.154513,-77.92503732623877,8
369,-3.1538138,3.1538138,-76.34656144625123,9
98,-3.1301656,3.1301656,-74.89918375229632,10
80,3.1067226,3.1067226,72.805087097591,11
386,2.9208872,2.9208872,70.96549311378647,12
206,2.8609185,2.8609185,72.42483621809717,13
151,2.847876,2.847876,72.8798125734782,14
160,2.846849,2.846849,67.54567578636644,15
124,-2.83946,2.83946,-70.45737927690278,16
30,-2.8075566,2.8075566,-68.21898848558716,17
314,-2.7868114,2.7868114,-72.9821782228133,18
402,-2.754471,2.754471,-67.69676840341184,19
224,-2.741255,2.741255,-61.16474619447141,20
116,2.6535769,2.6535769,66.43926738496025,21
102,-2.6479707,2.6479707,-62.99419903368719,22
10,2.6403017,2.6403017,63.45009894873643,23
180,2.6107101,2.6107101,60.322814091385496,24
108,-2.6024365,2.6024365,-61.45307566715782,25
509,2.5826137,2.5826137,63.518424063600236,26
380,2.581863,2.581863,63.57856051973254,27
12,-2.5798004,2.5798004,-61.448650363678304,28
266,2.5569434,2.5569434,62.224470333495105,29
122,-2.5484033,2.5484033,-58.60959692317621,30
429,-2.536376,2.536376,-64.41029141275634,31
362,-2.5113194,2.5113194,-59.72281523056851,32
264,2.5043247,2.5043247,60.35605798658285,33
418,2.4873765,2.4873765,55.48033350266524,34
493,-2.4460928,2.4460928,-59.59932451014383,35
200,2.4273872,2.4273872,60.61424111527178,36
71,-2.3923016,2.3923016,-57.129845529881116,37
100,-2.389797,2.389797,-59.11486289880354,38
47,2.379114,2.379114,61.36040340646541,39
304,2.3669205,2.3669205,53.613124130702026,40
370,2.3654773,2.3654773,55.01223841443815,41
133,-2.3551736,2.3551736,-55.840071630052854,42
95,2.3212485,2.3212485,55.54018847372921,43
433,2.3116927,2.3116927,56.18278329983685,44
177,-2.3104417,2.3104417,-55.255568513509765,45
26,2.2938447,2.2938447,57.38059079078919,46
218,-2.2918122,2.2918122,-56.036830338983805,47
135,-2.2763941,2.2763941,-54.192488748759665,48
208,2.259551,2.259551,55.52025150123398,49
441,-2.2196965,2.2196965,-53.16048336906837,50
248,-2.209768,2.209768,-53.083171541742864,51
74,2.1967776,2.1967776,51.58762293047129,52
132,-2.195087,2.195087,-52.98350612807033,53
459,-2.1878438,2.1878438,-52.8294882915894,54
458,-2.1769545,2.1769545,-52.069806945840156,55
249,-2.1739578,2.1739578,-51.96506551719456,56
341,-2.1651003,2.1651003,-55.81705175940333,57
120,-2.160032,2.160032,-55.197129790393134,58
148,2.1597476,2.1597476,52.27687700499464,59
65,-2.1566503,2.1566503,-50.60891328269471,60
228,-2.1297464,2.1297464,-50.05824121960811,61
220,2.1165886,2.1165886,53.0989988395768,62
51,2.0783284,2.0783284,51.9110048955787,63
376,2.075496,2.075496,51.073550147151664,64
405,-2.0725157,2.0725157,-50.786756931529254,65
511,2.0431304,2.0431304,47.85562226184681,66
69,2.022264,2.022264,51.6041495894988,67
0,-2.0172014,2.0172014,-46.02880764692824,68
353,1.992525,1.992525,48.12161932100145,69
408,1.989853,1.989853,49.22003095535818,70
290,-1.9742382,1.9742382,-45.21922918465279,71
161,-1.9688911,1.9688911,-47.09699577419959,72
78,-1.9673961,1.9673961,-48.145542868552184,73
186,1.9428198,1.9428198,46.568122669769714,74
510,-1.9353508,1.9353508,-47.76653242102625,75
7,1.9144162,1.9144162,47.51305877933434,76
137,1.9119543,1.9119543,46.03641792761478,77
8,-1.9024324,1.9024324,-47.511181051540035,78
453,1.8972226,1.8972226,44.49469967027671,79
492,1.8783962,1.8783962,43.434187334988515,80
406,-1.8730294,1.8730294,-43.97508885448141,81
219,1.868101,1.868101,44.01484636977012,82
332,1.8650181,1.8650181,45.028904182326364,83
288,1.8616234,1.8616234,44.57640842336543,84
412,-1.8511275,1.8511275,-45.30585049104444,85
476,1.8504953,1.8504953,47.053054699270135,86
469,-1.8491442,1.8491442,-44.90142390365028,87
76,1.8469466,1.8469466,45.351568925367125,88
196,1.8445232,1.8445232,41.83833137336313,89
109,1.8180622,1.8180622,45.09074982487236,90
33,-1.808595,1.808595,-44.47438527829216,91
357,1.8017265,1.8017265,41.48693507917518,92
67,1.8010345,1.8010345,41.00817119045002,93
236,-1.7994742,1.7994742,-43.95664062552316,94
105,-1.7922804,1.7922804,-45.17196030985425,95
345,-1.785298,1.785298,-43.74008976531808,96
167,1.781504,1.781504,41.713152955549916,97
335,1.7732202,1.7732202,41.06596847551083,98
221,-1.7726415,1.7726415,-41.10863317375842,99
391,-1.7697023,1.7697023,-42.417491569520806,100
473,-1.7566295,1.7566295,-40.395701980172696,101
175,1.7511827,1.7511827,42.788699892061395,102
425,-1.7494969,1.7494969,-45.26621096565498,103
401,1.7412844,1.7412844,41.8710991630374,104
39,1.7355032,1.7355032,41.39725902791913,105
368,1.7311189,1.7311189,41.1329788359353,106
397,-1.7261767,1.7261767,-42.0279392510596,107
403,-1.7233858,1.7233858,-40.85725748414007,108
237,1.719238,1.719238,40.27829929927193,109
484,1.7077558,1.7077558,44.2399908142752,110
374,-1.6955836,1.6955836,-41.14347995990134,111
373,-1.6761678,1.6761678,-38.90750125144017,112
192,-1.664204,1.664204,-42.18165758879842,113
227,1.6574665,1.6574665,44.35718450121504,114
282,-1.6519855,1.6519855,-39.18348224842467,115
57,1.644792,1.644792,39.78632505400309,116
427,1.6310099,1.6310099,40.35873842838398,117
223,1.6309282,1.6309282,39.53481152686148,118
273,-1.6303308,1.6303308,-38.02444056744438,119
48,-1.6209521,1.6209521,-40.45792564507407,120
286,-1.6198957,1.6198957,-38.42923984530525,121
279,-1.6123371,1.6123371,-38.440366719768974,122
475,-1.6111422,1.6111422,-41.13622458465391,123
352,1.610546,1.610546,37.43393544925916,124
211,1.6075517,1.6075517,38.80231507208256,125
