latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
233,-3.0614572,3.0614572,-130.87443019561832,1
302,3.0414178,3.0414178,121.34224612034005,2
642,-2.6734436,2.6734436,-109.79810694564361,3
154,-2.6330032,2.6330032,-116.68269487785001,4
97,2.580425,2.580425,100.1530618520331,5
411,2.476913,2.476913,94.56968168720724,6
183,-2.472495,2.472495,-93.97146513217221,7
1023,2.3677063,2.3677063,95.19036940936356,8
726,-2.2491596,2.2491596,-92.20339597623182,9
435,-2.2200403,2.2200403,-93.46892421231892,10
703,2.219196,2.219196,92.13749574578665,11
406,2.1266594,2.1266594,91.48314259249229,12
300,-2.1043816,2.1043816,-85.15582896837864,13
68,-2.081803,2.081803,-80.76671025722759,14
221,-2.0081766,2.0081766,-85.45372983606927,15
153,1.9879984,1.9879984,93.88541192760127,16
228,-1.9588273,1.9588273,-83.69960610475003,17
242,-1.9505807,1.9505807,-85.42700191856373,18
616,1.9298562,1.9298562,79.67061261583706,19
588,1.927013,1.927013,81.25348362565026,20
540,1.8989353,1.8989353,80.62202456588778,21
736,-1.8888422,1.8888422,-72.26557655206129,22
581,1.880879,1.880879,82.30279300299672,23
231,-1.8400085,1.8400085,-74.79264383817906,24
988,1.8262472,1.8262472,79.49608553860827,25
617,-1.817076,1.817076,-78.56572468070554,26
874,-1.7862318,1.7862318,-72.9819872848065,27
359,-1.773113,1.773113,-74.74992886555592,28
698,1.7627898,1.7627898,72.38378635437971,29
607,1.7520701,1.7520701,71.86561766349534,30
614,-1.7495861,1.7495861,-71.68261744092419,31
383,1.7465553,1.7465553,69.25333973731448,32
913,1.7456998,1.7456998,72.0923717196381,33
690,1.7274721,1.7274721,68.71449601951359,34
241,-1.7133844,1.7133844,-71.42740677314058,35
443,-1.6926754,1.6926754,-69.48454397904618,36
270,1.6834671,1.6834671,67.12560185642684,37
272,-1.6619573,1.6619573,-69.93000445013377,38
914,-1.6607958,1.6607958,-70.26947384294549,39
847,1.6603705,1.6603705,66.04844334982198,40
628,1.649623,1.649623,70.93379631829308,41
692,1.648723,1.648723,65.41986651493448,42
444,-1.6477333,1.6477333,-64.98000878138085,43
584,1.6390201,1.6390201,67.42708373674407,44
6,-1.6346459,1.6346459,-69.70321189754885,45
195,1.623182,1.623182,64.90489603666163,46
903,-1.6154715,1.6154715,-66.31618034439772,47
418,1.6023082,1.6023082,66.70644337599064,48
802,-1.593984,1.593984,-62.728082290331535,49
910,-1.5797565,1.5797565,-66.89900428755853,50
610,-1.5759417,1.5759417,-64.65960034075253,51
892,1.5690583,1.5690583,66.3141703079984,52
94,-1.5651586,1.5651586,-64.84951405631672,53
720,1.5580412,1.5580412,65.61065409208713,54
323,-1.5493605,1.5493605,-61.71259834022618,55
174,-1.5352061,1.5352061,-61.57463830859751,56
559,1.5266473,1.5266473,67.51794972933583,57
216,1.5216962,1.5216962,59.6645385928156,58
464,-1.520385,1.520385,-64.70367178327145,59
476,-1.5158622,1.5158622,-60.94947440725205,60
998,-1.5154449,1.5154449,-62.83020191749941,61
123,1.4954636,1.4954636,59.23247772149828,62
170,-1.4871746,1.4871746,-61.38408192526351,63
1021,1.4844891,1.4844891,62.67132155222035,64
888,1.4812391,1.4812391,62.772831973093446,65
739,1.480031,1.480031,67.86028208685907,66
19,-1.475142,1.475142,-61.124108416026765,67
871,-1.4748029,1.4748029,-59.21418473434974,68
396,1.4745629,1.4745629,61.75164769953975,69
90,-1.4737488,1.4737488,-57.774375310451966,70
917,-1.4719211,1.4719211,-62.11777357397212,71
40,-1.4716477,1.4716477,-61.33786329016902,72
712,1.4681509,1.4681509,62.741655927358046,73
279,-1.4616119,1.4616119,-63.30066232621779,74
663,1.4543256,1.4543256,64.0207255477311,75
409,-1.4508945,1.4508945,-64.32016066857682,76
723,1.4458933,1.4458933,59.78290201360579,77
346,1.4440008,1.4440008,56.337923130179675,78
679,1.440649,1.440649,57.844536548411654,79
583,-1.4353604,1.4353604,-58.77316330259365,80
796,1.4343201,1.4343201,60.097713510710754,81
958,-1.4313622,1.4313622,-57.44390159102643,82
361,1.408196,1.408196,60.03225288194162,83
542,-1.4034872,1.4034872,-58.47553955403244,84
498,1.4009447,1.4009447,61.22877695918065,85
15,1.3936232,1.3936232,58.672597206286724,86
21,-1.3936051,1.3936051,-60.901692733616635,87
469,1.3908706,1.3908706,54.513143861787626,88
776,1.3898301,1.3898301,57.3522739862659,89
1009,-1.3894287,1.3894287,-56.43685542383393,90
471,-1.3874522,1.3874522,-57.50337246265998,91
592,1.3827009,1.3827009,55.44566962971819,92
718,1.3791595,1.3791595,60.0529464909511,93
869,1.3732172,1.3732172,54.261102871708054,94
733,-1.3712325,1.3712325,-54.64937253752964,95
230,1.365938,1.365938,58.31363652994671,96
473,-1.3650671,1.3650671,-57.74112825185976,97
421,-1.3597713,1.3597713,-54.66732877007972,98
982,1.3559164,1.3559164,55.32014871954407,99
121,1.353939,1.353939,60.24199986674366,100
391,1.3536184,1.3536184,54.66799094272843,101
620,-1.3522677,1.3522677,-54.855510050799936,102
31,1.3472388,1.3472388,56.37173286968466,103
289,-1.3467846,1.3467846,-59.041831972009604,104
612,-1.3434618,1.3434618,-56.925261686589856,105
937,-1.3393492,1.3393492,-59.57755930974272,106
560,-1.3365917,1.3365917,-57.5163326742814,107
