latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
270,8.022112,8.022112,188.92481561620153,1
233,-7.9218655,7.9218655,-200.37060180789305,2
183,-7.9043336,7.9043336,-177.3831166910607,3
411,7.4659657,7.4659657,168.47084996472898,4
152,-7.3402576,7.3402576,-181.4233276930968,5
97,7.331864,7.331864,168.10431520207857,6
391,7.0917864,7.0917864,169.1923331081755,7
241,-6.885944,6.885944,-169.43980732774807,8
134,6.693075,6.693075,165.83807716864172,9
122,6.5424356,6.5424356,155.7729187137215,10
435,-6.359459,6.359459,-157.98544787139485,11
40,-6.300577,6.300577,-155.49266496468647,12
56,-6.2056527,6.2056527,-147.2710132350633,13
383,6.1970534,6.1970534,145.25743139981373,14
394,6.151819,6.151819,146.97132593925642,15
242,-6.134621,6.134621,-158.56431079151605,16
6,-6.039831,6.039831,-152.11667436928568,17
228,-6.0372734,6.0372734,-152.38906349347144,18
471,-6.026504,6.026504,-147.1913936868104,19
410,-5.914288,5.914288,-143.79823119849152,20
357,5.898551,5.898551,142.70220093180404,21
154,-5.867204,5.867204,-153.46492990815153,22
302,5.795307,5.795307,136.9044610846998,23
4,-5.7576313,5.7576313,-141.07965025507121,24
266,5.738758,5.738758,144.57769031427333,25
80,5.686029,5.686029,144.01375449072387,26
259,5.6815953,5.6815953,142.37793052203318,27
155,-5.662887,5.662887,-138.5335804769028,28
321,-5.646262,5.646262,-141.7177489704563,29
251,5.621119,5.621119,123.47064634525753,30
450,5.6181116,5.6181116,143.52491383150323,31
141,5.567223,5.567223,143.25890310465388,32
216,5.5440264,5.5440264,128.3623830487896,33
144,5.5349784,5.5349784,132.0909679294033,34
262,-5.5149736,5.5149736,-129.96371421825899,35
342,-5.453085,5.453085,-124.30605697252052,36
221,-5.4465265,5.4465265,-136.9856336281511,37
267,-5.4083266,5.4083266,-135.98397896866672,38
94,-5.3882823,5.3882823,-132.02241331990703,39
279,-5.310017,5.310017,-135.84688814598792,40
231,-5.303008,5.303008,-127.14472191420697,41
195,5.228188,5.228188,123.56867309125417,42
498,5.196323,5.196323,134.0329676595007,43
175,-5.049755,5.049755,-123.6212213830993,44
474,-5.0370417,5.0370417,-120.10678529425074,45
406,5.035621,5.035621,127.92573953124347,46
129,-5.035017,5.035017,-125.63252130696964,47
45,-4.9195814,4.9195814,-120.01590344569257,48
329,-4.9108443,4.9108443,-122.61600837402817,49
431,-4.882372,4.882372,-115.66359631384216,50
115,4.7174187,4.7174187,121.25104617016001,51
332,-4.615086,4.615086,-118.29691246647334,52
507,-4.595141,4.595141,-119.24314031420947,53
38,4.5182734,4.5182734,112.02159230513669,54
287,4.4975786,4.4975786,107.28947135926951,55
25,-4.468938,4.468938,-107.68391368592697,56
105,4.449567,4.449567,109.65752566782058,57
70,-4.4360375,4.4360375,-112.24505762750626,58
323,-4.427988,4.427988,-104.2473980456791,59
215,-4.427068,4.427068,-102.27453287908348,60
35,-4.424538,4.424538,-112.84779683625204,61
217,4.369554,4.369554,110.5124031343808,62
456,-4.3561544,4.3561544,-104.68205284995518,63
153,4.3511534,4.3511534,121.42415181407841,64
472,4.302132,4.302132,105.82610570440703,65
