latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
119,2.7464805,2.7464805,121.7174589303868,1
67,-1.8952702,1.8952702,-47.09367515730094,2
174,-1.814791,1.814791,-48.72653179974332,3
324,-1.7988212,1.7988212,-63.09963355675418,4
423,1.7518222,1.7518222,54.63471142883106,5
162,-1.722364,1.722364,-46.34252079496207,6
364,-1.7144432,1.7144432,-48.26169895418969,7
77,1.702769,1.702769,51.7757040612639,8
206,1.683928,1.683928,56.79337465347554,9
478,1.6275204,1.6275204,48.835964680456456,10
24,-1.5975288,1.5975288,-43.93275556900442,11
415,-1.5251949,1.5251949,-44.478314465856215,12
80,-1.5159168,1.5159168,-40.37960083392687,13
219,-1.4588021,1.4588021,-38.179326231163834,14
74,-1.4031976,1.4031976,-41.45888836504208,15
447,-1.3993273,1.3993273,-38.620282567645155,16
165,1.3954568,1.3954568,42.28174549178808,17
198,-1.3786688,1.3786688,-37.87187990634864,18
339,-1.3635459,1.3635459,-42.232345146352195,19
166,1.3587056,1.3587056,35.18324081098157,20
373,1.3562813,1.3562813,38.255564929243725,21
436,-1.3412204,1.3412204,-34.57217228377732,22
399,-1.3390791,1.3390791,-33.875542769752506,23
407,-1.3277849,1.3277849,-40.431662660479546,24
70,1.3230249,1.3230249,33.79200528574558,25
434,-1.314633,1.314633,-36.169912603782144,26
437,-1.3027382,1.3027382,-41.91453133292744,27
319,1.3015847,1.3015847,34.816296545079325,28
441,-1.2700521,1.2700521,-36.931188015292534,29
176,1.2431219,1.2431219,38.72801598157213,30
45,1.2190329,1.2190329,38.3915584136924,31
388,1.2145594,1.2145594,34.745709352656995,32
309,1.2079899,1.2079899,38.6839356453787,33
449,1.2066699,1.2066699,30.54803371563238,34
325,1.2066224,1.2066224,36.556642421148155,35
395,1.2022772,1.2022772,41.27761351970033,36
220,-1.1945697,1.1945697,-35.450396781826356,37
205,-1.1862408,1.1862408,-46.21953739794279,38
123,-1.1837342,1.1837342,-37.925503174219585,39
44,1.18219,1.18219,32.63864417671512,40
36,1.181964,1.181964,31.733177803075762,41
108,1.1778351,1.1778351,32.30516469091992,42
356,-1.1763114,1.1763114,-31.599240321468496,43
15,1.1721501,1.1721501,38.2480506155743,44
497,1.1700641,1.1700641,37.33774674918598,45
494,-1.1675764,1.1675764,-42.51297105376224,46
215,-1.1609485,1.1609485,-30.531401804212656,47
19,-1.1583599,1.1583599,-34.50922051608632,48
187,-1.1495693,1.1495693,-29.945418851825817,49
486,-1.1425138,1.1425138,-29.63334271270243,50
265,1.1346582,1.1346582,41.882254842737666,51
192,1.1257454,1.1257454,25.35007235873475,52
329,-1.1183488,1.1183488,-31.397517031722703,53
420,1.1135547,1.1135547,25.63503557079894,54
376,1.1030974,1.1030974,31.052458262575847,55
61,-1.0961466,1.0961466,-28.68839031235768,56
431,1.0927193,1.0927193,30.362795238740716,57
427,-1.0900137,1.0900137,-29.253883449318174,58
392,1.0818827,1.0818827,26.21451036912824,59
230,1.0813727,1.0813727,28.662138026759365,60
357,1.0780808,1.0780808,31.7776121982878,61
179,-1.0650783,1.0650783,-31.453824282005403,62
438,-1.0629433,1.0629433,-31.40334037960195,63
109,1.0619832,1.0619832,28.243645612776188,64
81,1.0593747,1.0593747,23.88937497095212,65
6,1.0587107,1.0587107,22.535789595423857,66
245,1.0412457,1.0412457,28.00909463461381,67
383,1.0406013,1.0406013,29.53129140694075,68
351,1.0358775,1.0358775,30.42980189090952,69
315,-1.0347126,1.0347126,-29.827610473851568,70
290,-1.0311328,1.0311328,-24.319347087868312,71
454,-1.029545,1.029545,-24.87657311138451,72
85,1.0281587,1.0281587,26.829232075813515,73
242,1.0248185,1.0248185,31.810962074585195,74
171,-1.0074174,1.0074174,-27.164148539189682,75
278,-1.0052145,1.0052145,-27.033544485159787,76
375,-1.0044994,1.0044994,-23.415418160587393,77
472,-0.9990931,0.9990931,-29.592496203838834,78
47,0.98500323,0.98500323,30.422641347516816,79
183,0.9845033,0.9845033,26.377750259761502,80
181,0.9802255,0.9802255,27.146133060909,81
31,-0.97312,0.97312,-29.03786273497731,82
268,0.96591413,0.96591413,28.7381897429249,83
209,0.9489918,0.9489918,27.289184880174137,84
312,-0.94886917,0.94886917,-27.63934647228097,85
282,-0.9305443,0.9305443,-30.970273299688262,86
221,-0.9268466,0.9268466,-25.49222394661341,87
52,0.9163229,0.9163229,28.2563232883844,88
403,-0.91107005,0.91107005,-22.458888447763492,89
444,0.90472203,0.90472203,25.205936722307325,90
155,-0.90444475,0.90444475,-22.347357438361843,91
250,0.8995708,0.8995708,23.11525422797328,92
355,0.89610136,0.89610136,21.565383240582836,93
248,0.8662636,0.8662636,29.288771158582783,94
193,0.8608669,0.8608669,26.510679918604318,95
368,-0.8579108,0.8579108,-24.90060985860185,96
489,0.8556034,0.8556034,25.452635596992295,97
302,-0.8438896,0.8438896,-17.354928567360346,98
504,0.84076685,0.84076685,22.20379242663002,99
386,-0.8355803,0.8355803,-24.467964714818866,100
255,-0.8350862,0.8350862,-25.501759149145634,101
235,0.82988334,0.82988334,22.049203596395582,102
213,0.8286612,0.8286612,25.50957716153937,103
416,0.8274774,0.8274774,25.261097508409083,104
281,-0.8218501,0.8218501,-24.437811114040134,105
439,0.81372947,0.81372947,24.554500507529397,106
33,0.8127055,0.8127055,22.139004594172274,107
79,-0.81125534,0.81125534,-19.69286658475214,108
72,-0.81054604,0.81054604,-24.051319701233506,109
